,smiles,solv_oxidation_potential
05RUCD,O=CN1CCC2(C=CC(O)C=C2)c2cc3c(cc2C1)OCO3,1.316
05QCKY,CC1(C)Cc2ccccc2C(N2CCOCC2)=N1,1.244
05YHRH,CCC1=CC(c2ccccc2)=C(S(=O)(=O)C(F)(F)F)C12OCC(C)(C)CO2,1.897
05JYMY,COC(=O)C1=C(C(=O)OC)C2(OCC(C)(C)CO2)C(c2ccc(OC)cc2)=C1,1.239
05JATY,COc1ccc(C2C3=C(CCCC3=O)NC3=C2C(=O)CCC3)cc1,1.332
05CLZH,CCOC(=O)C(C#N)=C1NC=Nc2ccccc21,1.706
05RMVV,CCOC(=O)C(C#N)=C1NC(C)=Nc2ccccc21,1.519
05OMSL,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Cl)cc1,1.869
05GVJH,COC(C)(C)C1=CCC2(C)CN(S(=O)(=O)c3ccc(C)cc3)C(C)(C)C2=C1,1.272
05XSFC,CCOC(=O)C(=CC1OC=Cc2ccccc21)CC(C)=O,1.229
05RGZA,CC(=O)NC1=C(S(C)(=O)=O)CCc2ccccc21,1.398
05LCSU,N#CC1=C(N)Oc2ccccc2C1C(C#N)C#N,1.768
05KUSN,CC(C)=CCCC(C)C1=C(O)C(=O)C(C)=C(NCc2ccccc2)C1=O,1.276
05DIYS,CC1=CC2=C3C(=O)c4ccccc4C(=O)C3=C3C=C(C)SC3(C)C2(C)S1,0.838
05EVXG,CCCCCCCCNC1=C(Cl)C(=O)c2ccccc2C1=O,1.482
05FQQB,CNC1=C(Cl)C(=O)c2ccccc2C1=O,1.485
05FXJG,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2C=Cc1ccc(Cl)cc1,1.276
05TIDJ,CCN1C(=O)C2(C)CCC(=O)C3(C)c4ccccc4C=C1C23,1.012
05GFJZ,CC(C)=CCCC(C)C1=C(O)C(=O)C(C)=C(Nc2ccccc2)C1=O,1.447
05NOUN,CNC1=C([N+](=O)[O-])C(c2ccc(Cl)cc2)C2=C(CCCC2=O)O1,1.96
05XPWB,CCCC(=O)N(C(=O)CCC)C1=C(Cl)C(=O)c2ccccc2C1=O,2.432
05HPRF,COc1ccc2c(c1)N(C)C(=O)C21C=CN(S(=O)(=O)C(F)(F)F)C=C1,1.835
05OBPI,CC(C)=NNC1=NS(=O)(=O)c2ccccc21,1.866
05KEAP,CCCNC1=C(Cl)C(=O)c2ccccc2C1=O,1.513
05WHNI,CCN(CC)c1ccc(C=C2[NH+]=C(C)C=C2C)c(O[B-](F)(F)F)c1,1.178
05UOEV,O=C1C=CC(=O)CCc2ccc(cc2)CC1,1.741
05DZKF,CCN1C(=O)C(=C2C(C(=O)OCCCCCl)=CN(C3CC3)c3cc(Cl)c(F)cc32)C(=O)N(CC)C1=S,1.471
05UJSA,CCCCNC1=C(Cl)C(=O)c2ccccc2C1=O,1.508
05LQGK,CCCCCCNC1=C(Cl)C(=O)c2ccccc2C1=O,1.439
05XERR,CCNC1=C(Cl)C(=O)c2ccccc2C1=O,1.434
05DRXD,CC(C)(C)C1=CC2=CC=C3C=C(C(C)(C)C)C=C4c5ccccc5C(=C1)C2(C)C34C,0.214
05TNKC,Cn1cnc2c1NS(=O)(=O)N=C2N,1.303
05COQJ,CN1c2c(ncn2C)C(N)=NS1(=O)=O,1.211
05AUDA,COc1ccc(C2C(C(C)=O)=CN3C=CC=CC23)cc1,0.597
05YYPX,CC1CCC(C(C)C)C(OC(=O)N2C=Cc3ccccc3C2C#N)C1,1.406
05TZYB,C=CCC12c3ccccc3C=CN1C(=O)NC2CC,0.925
05UCVE,O=C1C=C(N2CCCC2)C(=O)c2ccccc21,1.36
05YMWY,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1ccc([N+](=O)[O-])cc1,1.124
05JIAU,CC(C)(C)C1=Cc2cc(C(C)(C)C)ccc2C(=O)C1=O,2.097
05ZTDP,COC1=CC=C(C(=O)NC(C)(C)C)C2C1C2c1ccccc1,0.896
05LFCJ,O=C1C2=C(CCCC2)C2=NCCc3cccc1c32,1.78
05OJNN,CC(=O)OCC(C)CC1=Cc2ccccc2C12OC1CC3C4CCC5CC(OC(C)=O)CCC5(C)C4CC(=O)C3(C)C1C2C,1.289
05HIRS,CCOC(=O)C1=C(C)OC(N)=C(C#N)C12C(=O)Nc1ccc([N+](=O)[O-])cc12,1.604
05EJBI,CC1(C)C=C2C(=[N+]([O-])c3ccccc32)C(C)(C)C1,1.158
05BIVE,N#CC1=C(N)C=CC12CCCc1ccccc12,1.088
05OLVH,OC1c2cc(Br)ccc2N=C2CCCCN21,1.135
05YRPP,OC1c2ccccc2N=C2CCCN21,1.108
05IVEO,O=C1CCC2Oc3ccc(Cl)cc3C=C12,1.608
05VLBK,CC(c1ccccc1)N1CCC(=O)C([S+](C)C)=C1[O-],1.164
05ZFKX,Cc1ccc(C2=NS3=NS(=N2)N=S=N3)cc1,2.492
05YQKO,Fc1ccc(C2=NS3=NS(=N2)N=S=N3)cc1,2.771
05ENBX,Fc1cccc(F)c1C1=NS2=NS(=N1)N=S=N2,2.447
05UQAL,N#Cc1ccc(C2=NS3=NS(=N2)N=S=N3)cc1,2.567
05PBSW,COc1c2c(c3c(c1C(C)C)OCO3)C1(C)CCC3C(C)(C)CCCC3(C)C1=C2,0.609
05RGBQ,CCOC(=O)C1=C(N)OC2=C(C(=O)CC2)C1c1ccc(Cl)cc1Cl,2.284
05VXOB,CCC1=NCC(C(=O)OC)=Cc2cc(OC)c(OC)c(OC)c21,1.206
05CUNT,CCC1=NCC(C(=O)OC)=Cc2cc3c(cc21)OCO3,1.325
05SAJI,C=CCC1(OC)C=C2C(=CC1=O)OC(c1cc(OC)c(OC)c(OC)c1)C2C,1.007
