,smiles,solv_oxidation_potential
81LWOW,Cc1ccnc(NC[C@@H](c2cccs2)N2CCOCC2)n1,0.74
81MWNW,NC(=O)c1cccc(CS(=O)(=O)C[C@@H](O)Cn2cccn2)c1,2.568
81IXZH,COc1ccc(N)c(SCc2ccn(C(C)C)n2)c1,1.391
81VOAK,CCCCS[C@@H](C)C(=O)NCc1cn2cc(Cl)ccc2n1,2.011
81UHKC,CCc1nc(C)cn1C(=O)Nc1cccc(Cl)c1,2.339
81CACO,CCCOc1cc(CNc2ccnc(C(C)C)n2)ccn1,1.843
81MKBU,C[C@@H](CNC(=O)CC1(O)CCCC1)c1ccsc1,2.349
81RYKJ,Cc1nc(CC(=O)N2CCN(C/C=C/c3ccccc3)CC2)cs1,2.235
81YOLY,O=C(CSc1nc2cc(Cl)ccc2[nH]1)Nc1ccc(Br)cn1,1.685
81GELX,Cc1cc(NC(=O)N2CCC[C@@H](NC(=O)C(C)C)C2)on1,1.675
81BPID,CC[C@@](C)(NCC(=O)N(C)OC)c1nc(C)cs1,1.661
81ICHT,COC(=O)[C@H](C)CN(C)C(=O)[C@@H](C)Cc1c(C)n[nH]c1C,1.688
81THIZ,CSCC[C@H](C)NC(=O)NNC(=O)Cc1ccc2ccccc2c1,1.847
81QALZ,CCOC(=O)C(C)(C)N(C)Cc1c(N)ncnc1OC,1.741
81MBPR,O=C(Cn1cc(Br)cn1)NCc1ccccc1F,2.253
81PXGO,O=C(CCc1ccsc1)NNc1ccccc1,0.689
81QAIM,CC[C@H](C)NC(=O)CN1CCN(C(=O)Nc2cncc3ccccc23)CC1,1.587
81GLID,O=C(CSc1cccc(Br)c1)[C@@H]1CCOC2(CCCC2)C1,1.711
81IFRR,CC[C@@H](C)[C@H](O)CNC(=O)C(=O)Nc1ccnn1C(C)(C)C,1.79
81GNVP,Cc1cnc(C(=O)N(C)Cc2cc(C)on2)cn1,2.373
81WACE,C=CCN(CC=C)C(=O)Cn1cc(Cl)c(=O)[nH]c1=O,2.064
81PMDJ,COC(=O)c1cc(=O)nc(N/N=C/c2ccccc2)s1,1.804
81DDFA,CS[C@@H](CO)[C@@H](C)NC(=O)Nc1cnccc1C,1.708
81MGAC,Cc1ccc(/C=C/C(=O)N(C)Cc2sccc2C)o1,1.1
81IKTB,CN(c1nccs1)[C@@H]1CCN(C(=O)OC(C)(C)C)C1,1.458
81ZWSM,CS[C@@H](CO)[C@@H](C)NCc1nc2c(s1)CCC2,1.402
81HLHB,Nc1c(Nc2ccc(Br)cc2)ncnc1Nc1nccs1,1.254
81FTHH,Cc1cc(C[C@@H](C)N[C@@H](c2cccnc2)C(C)C)n[nH]1,1.364
81FSHA,COc1ccc(Br)c(CSc2cc(F)ccc2N)c1,1.334
81OIYS,CC[C@@H](OC)C(=O)NCC1CCN(c2cnn(C)c(=O)c2)CC1,1.416
81YXYV,Cc1cnc(C(=O)N[C@@H]2CCCC[C@@H]2C(F)(F)F)cn1,2.754
81IFXB,CCOc1cnc(C(=O)N/N=C/c2cccnc2)o1,1.789
81YKBD,CC(C)(CNC(=O)NC1CCC(CO)CC1)c1ccncc1,1.904
81KCGA,O=C(/C=C/c1cccs1)NC[C@H]1COC2(CCCCC2)O1,1.92
81HJYD,O=C(NCc1ccccc1F)c1csc(C#CCCO)c1,2.28
81JRMT,CCO[C@H](C)c1nc(CN2CCN(C(=O)[C@H](C)SC)CC2)cs1,0.647
81LTDI,Cc1ccc(NC(=O)C(=O)NCCN2CCOCC2)c(Cl)n1,0.915
81MHHC,CC(=O)NCCCSCC(=O)c1c[nH]c2ccccc12,1.765
81PIJO,COCc1cccc(CNC(=O)NC(C)(C)c2ncc(C)s2)c1,2.137
81BOMN,Cc1cc(CS[C@H](C)CCO)oc1C(=O)NN,1.514
81LQYD,Cc1ccc(NNC(=O)N[C@H]2CCCC[C@@H]2OC2CCCC2)nc1,1.239
81NVOB,CCS(=O)(=O)CCN(C)C(=O)Nc1ccc2[nH]c(C(F)F)nc2c1,1.571
81NUOVRS,O=C(N/N=C/c1ccc(C(F)(F)F)cc1)c1ccco1,0.492
81HEAESJ,C[C@H](C(=O)N1CCCCC1)S(=O)(=O)Cc1ccc(Cl)c(Cl)c1,2.697
81IIZO,CC(C)CO[C@H](C)C(=O)N[C@H](c1ccccc1)c1cccs1,2.271
81LPSE,C[C@@H](CC#N)N(C)C(=O)Nc1ccnc(Oc2ccccc2Cl)c1,2.575
81NGTI,Cc1cc(NCc2nc(C)cs2)c2ncccc2c1,1.015
81CEVA,Cc1ccccc1COC1CCN(C(=O)NCC(C)(C)S(C)(=O)=O)CC1,1.576
81JPTE,CCc1cnc(CCNC(=O)C(=O)Nc2ccc(C)cc2)s1,2.27
81UNSD,CC(C)OC(=O)[C@@H](C)CNC(=O)c1ccnc(N(C)C)c1,1.305
81YXGC,N#Cc1cccc(NC(=O)CS(=O)(=O)c2nc3ccccc3[nH]2)c1,2.341
81HAMN,CN(CCCNC(=O)c1nccnc1N)c1ccccc1,0.767
81NYCM,N#Cc1cccc(NC(=O)c2ccncc2Cl)c1,2.362
81PQDW,Cc1nc(CNC(=O)CCCC[C@@H]2CCSS2)c(C)s1,1.567
81TDES,COc1cccc(OCCN[C@H](C)c2nccs2)c1,1.51
81FPFY,CC(=O)NC[C@@H]1CCCN(C(=O)NC[C@H](C)Oc2cccc(Cl)c2)C1,0.055
81PMSB,Cc1nc(C)c(CC(=O)NNc2cccc(Cl)c2)c(=O)[nH]1,1.935
81OLAD,CCN(Cc1ccccc1)C(=O)CNC(=O)NNc1ccc(F)cc1,0.791
81XIPS,CCS(=O)(=O)CCNC(=O)C(=O)Nc1ccc2[nH]ccc2c1,1.185
81TQRH,COc1ccccc1OS(=O)(=O)c1ccc(Br)cc1Br,2.163
81GCQX,CN(CC(F)F)C(=O)C(=O)Nc1ccc(NC(=O)c2ccccc2)nc1,1.314
81VDSI,Cc1nc(C[S@](=O)Cc2ccc(C#N)cc2)sc1C,1.519
81XBYR,CC(C)C(=O)NC(NC(=O)C(C)C)c1cc(Br)ccc1F,2.17
81GJAN,Cc1cc(NC(=O)N[C@H](C(N)=O)C(C)(C)C)c[nH]c1=O,0.98
81OMVR,Cc1cnc([C@@H](C)NC(=O)N2CCC(OCc3ccccc3)CC2)s1,1.728
81AHPF,CCc1nn(C)cc1NC(=O)N[C@H](CC)CO,1.333
81IQGE,CSC(C)(C)CNC(=O)CCn1ccc2ccccc21,1.362
81HCHY,CN(CCc1cccs1)C(=O)C[C@@H](NC(N)=O)c1cccs1,1.665
81DURD,CCCc1cc(C(=O)NNC(=O)c2sccc2C)[nH]n1,2.145
81AAVK,Cc1nc(C[C@H]2CC[C@@H](O)[C@@H]2C)sc1C,1.793
81LBDW,Cc1ccc(CCC(=O)OCC#Cc2ccccc2)o1,1.356
81DXSN,Cc1cc(Br)ccc1SCC(=O)NCc1ccc(Cn2cccn2)cc1,1.953
81AUHO,C[C@H](Oc1cccc(Cl)c1)C(=O)NNc1ccc(F)cc1F,1.318
81GJAJ,CCOc1ccc(SCC(=O)N(C)CCC#N)cc1,2.294
81QWYU,CCOC(=O)c1coc(NC(=O)NCc2ccc(F)cc2)n1,0.157
81DNUZ,Cc1ncccc1N[C@H](C)c1cnccn1,1.168
81WQQW,CCc1nn(C)cc1NC(=O)NCc1ccccc1Br,1.389
81YHTZ,Fc1ccc2ccc(NC[C@@H]3CCCN(c4ncccn4)C3)nc2c1,1.543
81RXTB,O=C(CN1CCN(c2ccccc2F)CC1)NC(c1ccccc1)c1ccccc1,0.79
81QYHZ,CC(C)CNC(=O)NC1(C(F)(F)F)Oc2ccccc2O1,2.035
81FAWY,CNS(=O)(=O)[C@H]1CCN(Cc2cc(Cl)ccc2F)C1,1.162
81NEOU,CCN(C[C@H]1CCOC1)C(=O)c1cc(C)on1,2.205
81UBGM,CN(C(=O)Cn1ncc2ccccc21)C1CCS(=O)CC1,1.715
81UDIR,CO[C@H]1CCCC[C@H]1Nc1snc(Cl)c1C#N,1.849
81ZCUU,CC(C)[C@H](CCN1C(=O)CCC1=O)c1ccco1,1.798
81HWTJ,CN(Cc1ccc(Cl)cc1)Cc1nc2ccc(Cl)cc2c(=O)[nH]1,2.096
81TPYV,C[C@H]1CN(C2CCN(C(=O)NCCc3c(F)cccc3F)CC2)CCO1,0.914
81ETKQ,CCSc1ccc(NC(=O)NCCc2nccn2C(F)F)cn1,1.632
81UHPV,Cc1cc(C(=O)NCC2CCN(C(=O)c3ccno3)CC2)no1,2.159
81NEBP,CN(Cc1cc2ccccc2o1)C(=O)NNC(=O)c1ccc(C#N)cc1,1.492
81EAJE,CCN(Cc1ccoc1)C(=O)N[C@@H]1CCC[C@@H](S(C)(=O)=O)C1,1.638
81YBFY,O=C(Cc1c[nH]c2ccccc12)NCCC12CC3CC(CC(C3)C1)C2,1.336
81FABP,Cc1c(SC(F)F)sc2ccccc12,2.067
81YQCO,CCN(C(=O)CNc1c(F)cccc1F)[C@@H]1CCS(=O)(=O)C1,1.194
81ZLNO,C[C@H](c1ccc(Cl)c(Cl)c1)[S@@](=O)Cc1ccc(C#N)cc1,2.148
81LBAP,Fc1ccc(/C=C/c2ccc3ccccc3n2)cc1F,1.87
81FIHJ,Cn1cc(CC(=O)NNC(=O)Cc2cn(C)c3ccccc23)c2ccccc21,0.826
81QOQZ,CN(C)c1ncc(C(=O)NCCc2nc3ccccc3n2C)cn1,-0.319
81PNQR,CCCN(CC(F)F)C(=O)NC1CCN(c2ccc(N(C)C)cc2)CC1,0.291
81DQIS,Cc1ocnc1CNC(=O)C(=O)Nc1cc(F)c(F)c(F)c1,1.951
81JSUB,C[C@H](NC(=O)NNC(=O)Cc1c[nH]c2ccccc12)c1ccncc1,1.162
81NJLR,O=C(CCn1ncc2ccccc21)Nc1ccc(Oc2ccccc2)cc1,1.696
81ABGF,Clc1ccc(NC[C@H]([C@@H]2CCOC2)N2CCOCC2)nc1,1.61
81HJBU,O=C(CCCCl)N(Cc1ccsc1)CC(F)(F)F,2.019
81TLYE,Cc1n[nH]c(C)c1[C@H](C)CC(=O)N1CC[C@@H](C)[C@H](O)C1,1.559
81VRNG,O=C(NC[C@H]1CCCO1)NNC(=O)c1cc(F)cc(Br)c1,1.738
81WPVP,Fc1ccc([C@H](Br)Cc2ccc3ccccc3n2)c(F)c1,-0.226
81SZPC,Cc1csc(/C(C#N)=C\c2cc(Br)cs2)n1,1.643
81BUNL,CCCn1c2ccc([C@H](C)O)cc2c2cc([C@@H](C)O)ccc21,1.053
81HUNQ,CC(C)(CNC(=O)c1ccncc1I)c1ccncc1,2.022
81INCJ,CCCS(=O)(=O)CC(=O)N[C@@H](C)c1c(C)noc1C,2.596
81DCOD,COc1ncnc(Sc2nc(C)c(C)c(C)n2)c1N,1.298
81SXHX,O=C(c1cnc2ccc3ccccc3c2c1)c1ccccc1O,1.84
81ZVJD,Cc1ccsc1CN1CCN([C@@H](C)C(=O)N2CCCC2)CC1,0.803
81XKXO,Cc1cscc1[C@H](O)c1cccc(F)c1F,2.304
81OYIQ,Cc1ccc(O)c([C@@H](C)Nc2nccs2)c1,0.988
81JNAH,CCOc1ccc([C@@H](N[C@@H](C)c2cnc(C)s2)c2ccccc2)cc1,1.542
81QTPI,CC[C@@H](NC(=O)N1CCN(CCOC)C(=O)C1)c1cccs1,1.702
81ICPN,CC(C)(C)n1cc(NC(=O)N2CCC[C@H]3CCC[C@H]32)cn1,1.326
81UJKV,COCc1cc(NCCc2c[nH]c3ccccc23)ncn1,1.147
81IZYF,O=c1[nH]c2ccccc2nc1/C=C/c1cccc(F)c1,1.653
81BDZT,C[C@@H]1CCC[C@@H](Nc2ncncc2N)C1,1.101
81ADUD,CC[C@H](S[C@H](C)c1cccs1)C(N)=O,1.551
81WFRV,CCOc1ccc(Nc2ccnc(C(C)(C)C)n2)cc1,1.464
81MAQU,CSc1cc(Cl)ccc1C(F)(F)F,2.313
81APBE,O=C(NCCc1cscn1)Nc1ccccn1,1.946
81NMJB,CCc1cnc(CCNC(=O)N[C@@H](C)c2nc(C(C)(C)C)cs2)s1,2.358
81OEAO,CO[C@@H](C(=O)NCc1cnn(Cc2ccccc2)c1)c1ccccc1,2.314
81YRJX,O=C(NCCc1nc2ccccc2[nH]1)NC[C@@H]1CCN(c2ccccc2)C1,0.802
81OUCD,CNC(=O)c1ccc(CNC[C@H](c2ccc(Cl)cc2)n2cccn2)cc1,1.508
81TDTY,CCc1ccsc1CN1CCC(=O)NC1=O,2.278
81WMJG,Cc1ccc(CNC(=O)C(=O)Nc2cc(C)nn2C)cc1,1.733
81NLOK,CC[C@@H](C)NC(=O)[C@@H](C)[S@@](=O)Cc1cccc(Br)c1C,2.033
81YEVA,O[C@@H](Cc1c(F)cccc1F)c1ccccc1I,2.19
81HIWR,Cc1ncccc1NC(=O)c1ccccc1F,2.022
81YWVY,Cc1ocnc1CNC(=O)Nc1ccc([S@@](C)=O)c(F)c1,1.942
81VRGQ,CCCOC[C@H]1CCN(C(=O)c2cnc(C)[nH]c2=O)C1,1.824
81CQTQ,CCN(C[C@@H]1CCOC1)C(=O)c1ccnc(Cl)c1,2.093
81XESD,CSc1cc(C(=O)NC[C@](C)(O)c2ccsc2)ccn1,1.978
81HHZM,C[C@@H](Oc1ccc(F)cc1)C(=O)NNC(=O)c1cccs1,1.639
81KCPD,C[C@H](Oc1ccc(F)cc1)C(=O)NNC(=O)c1cccs1,1.925
81STEA,CCN(Cc1cccs1)C(=O)N[C@H](C)c1ccc(Cl)s1,1.869
81CAIW,NS(=O)(=O)CCCC(=O)N1CCC(Cc2ccccc2F)CC1,1.924
81HNTU,Cc1ccc(NC(=O)c2csc(C#CCCO)c2)c(Cl)c1,1.884
81VQJG,O=C(Cn1ccc2ccccc21)N1CCN(c2cccc(Cl)c2)CC1,0.955
81WZNF,CCN(C(=O)c1cc(C(C)C)no1)[C@@H](C)CS(C)(=O)=O,2.349
81ZLZR,Cn1cnc(S(=O)(=O)Oc2cccc(C(N)=O)c2)c1,1.994
81HLFJ,CC(C)c1cc(C(=O)Nc2ccc(N(C)C)nc2)n[nH]1,0.798
81RRQX,CC(C)(C)OC(=O)N1CCC[C@H](Nc2ccnc(Cl)n2)C1,1.807
81LLJJ,C[C@@H](CNC(=O)C(=O)Nc1cc(C(C)(C)C)on1)N1CCOCC1,0.87
81FNEH,C[C@H](NC(=O)Nc1cccnc1)c1ccc(Cl)s1,0.233
81XPPWAV,O=c1[nH]c2ccc(NCc3cccc(OCc4ccc(Cl)cc4)c3)cc2[nH]1,0.713
81JKYN,CSc1cccc(NC(=O)Cn2ccc3ccc(Br)cc32)c1,1.701
81EKMD,Cc1ncc(I)c(=O)n1CCCCCS,1.804
81VZXC,O=[S@](Cc1cn2ccccc2n1)Cc1cccnc1Cl,1.484
81FERY,O=c1[nH]c2ccccc2cc1CN[C@@H](c1ccccc1)c1ccncc1,1.477
81SMNO,CN(C)c1cc(C(=O)Nc2cncc3ccccc23)ccn1,1.203
81BQLF,O=C(CC1(O)CCCCC1)Nc1ccn(Cc2ccccc2)n1,1.649
81PWPC,CC(C)(C)OC(=O)NCCC(=O)NCc1ccoc1,1.841
81VWDA,N#Cc1ccc(S[C@H](C(N)=O)c2ccc(Br)cc2)cc1,2.022
81LERG,CN(CCc1ccccn1)C(=O)NCCc1c[nH]c2ccc(Cl)cc12,1.448
81RXLF,C[C@@H](CNC(=O)Nc1c(F)cccc1Br)Cn1cccn1,2.254
81NQPA,Cc1csc(SCCOc2cccc(F)c2)n1,2.05
81ETPR,COc1cc(C)c2[nH]ccc2n1,1.678
81MPBD,Cc1ccc2nc(CSCC(=O)NCCc3cccs3)cn2c1,1.119
81ZCLW,C[C@@H](Cc1cccs1)N(C)C(=O)NCC(C)(C)N1C[C@@H](C)O[C@H](C)C1,0.796
81NHCG,CC[C@H](C)C[C@H](C)NC(=O)c1nccn1C,2.268
81WTDZ,O=c1cc(CNc2cccc(F)c2)c2ccc(Br)cc2o1,1.355
81LJHU,C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,2.112
81OGIX,C[C@@H]1CCC[C@@H](OC(=O)CCCc2nc3ccccc3c(=O)[nH]2)C1,1.723
81ZFVT,Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)Nc1ccc(Cl)cc1,1.781
81HTHL,C[C@@H](C(=O)NCCc1cccs1)S(=O)(=O)Cc1ccc(Cl)cc1,3.169
81UHOQ,O=c1[nH]ncc(N[C@@H]2CCCC[C@@H]2OC2CCCC2)c1Cl,1.47
81WTBK,COCc1ccc(C(=O)NC(c2cccs2)c2cccs2)cc1,2.095
81KKAA,CCN(CC)C(=O)N1CCC(C(=O)NCc2cc3ccccc3o2)CC1,2.261
81FEZR,COC(=O)c1nc(C)cc(N[C@@H]2CCCCC2(C)C)n1,1.691
81YVXP,C[C@@H](Nc1nccc(C(F)(F)F)n1)c1ccc(OCc2cccnc2)cc1,1.777
81DRVC,CCCCCCNC(=O)Nc1c(C)cc(C)nc1Cl,2.557
81CCBI,N#CCN(C(=O)c1ccncc1Cl)c1ccccc1,2.611
81UECR,O=C(NCc1ccnc(OCC(F)(F)F)c1)NOC1CCCC1,1.385
81CZLZ,O=C(CN[C@H](c1ccc(F)cc1)c1cccs1)Nc1cccc(F)c1,1.489
81DEXM,CCCc1nc(COc2c(F)cc(C=O)cc2F)cs1,2.31
81AOXA,C[C@@H](CN1CCOCC1)Nc1ncnc2ccc(F)cc12,2.158
81AYPK,N#Cc1ccc(OCC(=O)NNC(=O)Cc2cn3ccccc3n2)cc1,1.32
81MCCI,Cc1csc(C[S@](=O)[C@@H](C)c2ccccc2)n1,1.656
81MHPTUE,Cc1cccc(OCCN(C)C(=O)Nc2cnn(Cc3ccccc3)c2)c1,1.469
81BLNA,C[C@H](C(=O)NC(C)(C)C)S(=O)(=O)Cc1cccc(F)c1,2.33
81FILH,CCc1nc(CC(=O)NC[C@H](C)Oc2ccc(F)cc2)cs1,2.697
81UZZA,Cc1cccc(CNS(=O)(=O)Cc2c(F)cccc2Cl)c1,2.436
81WCLWGU,O=C(CN1CCCOC1=O)N1CCN(c2nccs2)CC1,1.974
81ZIYC,Cc1cc(N/N=C/[C@@H](O)[C@H](O)[C@H](O)CO)nc2ccccc12,1.542
81GGRW,Cc1csc(C[C@H](O)[C@@H]2COCCO2)n1,1.96
81NCNF,CC[C@H]1CN(C(C)=O)CC[C@H]1CC(=O)Nc1nccs1,1.938
81VJIG,CC(=O)NCc1ccnc(OCc2ccccc2)c1,2.254
81ETHR,Cc1ncc(C(=O)N2CCN(CCCOc3ccc(F)cc3)CC2)c(=O)[nH]1,0.986
81AJTA,Cc1occc1C(=O)NCC(=O)NCC(C)(C)c1ccncc1,1.789
81YSQM,CCc1cnc(CCNC(=O)NCc2ccccc2CO)s1,1.679
81YBQD,COC(=O)c1occc1CSc1ccc(Cl)cc1N,1.51
81QXYS,CCN(Cc1cccc(C)n1)S(=O)(=O)[C@H](C)C(N)=S,1.829
81YWEY,O=[S@](Cc1cn2ccccc2n1)Cc1ccc(Cl)s1,1.293
81PUYW,Cc1cccc(C(=O)c2cccc(C)c2C)c1C,2.052
81JIVZ,CCN1CCN(C(=O)C(=O)Nc2ccc(Br)nc2C)CC1,1.16
81KDQH,CC(C)(C)NC(=O)CSc1cc(F)ccc1N,1.725
81TSCM,CCc1ccsc1CNC(=O)N1CCN(CC(F)(F)C(F)F)CC1,1.679
81OMPU,CCCC[C@H]1CCC[C@H]1NC(=O)NNC(=O)c1cc(C)oc1C,1.757
81HGVX,CNc1ncnc2c1[nH]c1ccccc12,1.253
81KHAHCR,COC[C@@H](Nc1nc(OC)ncc1Cl)c1ccccc1,1.819
81OVFY,Cc1cc(NC(=O)N2CCC[C@@H]2C(N)=O)ccn1,1.965
81JRNM,Cc1ccc2nc(CSCC(=O)N(C)Cc3ccccc3)cn2c1,1.644
81HHII,N#Cc1ccc(C(=O)Nc2cnn(CC(=O)NC3CCCC3)c2)cc1,1.725
81NWYP,CN(CCn1ccc2ccccc21)S(=O)(=O)NCc1ccccc1,1.249
81VTAZ,Oc1ccc(C2CCN(c3ccc(Cl)cn3)CC2)cc1,1.172
81ZNBT,Cc1cccc(SCC(=O)N2CCN(S(=O)(=O)/C=C/c3ccccc3)CC2)c1,1.992
81ILKW,CCOC(=O)C1(C)CCN(Cc2nc3c(F)cccc3[nH]2)CC1,2.156
81XPQF,O=C(/C=C/c1ccc(Cl)c(Cl)c1)NNC(=O)[C@@H]1CCCO1,2.191
81MGEA,Cc1n[nH]c(C)c1[C@H](C)NC(N)=O,1.786
81UIXO,CCc1ccc([C@H](O)C2(C#N)CCC(C)(C)CC2)o1,1.502
81TTNE,OC[C@H]1CCCN(c2cncc(OCc3ccccc3)n2)C1,1.166
81ZSHH,CC(=O)c1ccn(CC(=O)Nc2cccc(Br)c2)c1,2.485
81NBHG,O=C(CSc1nc2ccccc2c(=O)[nH]1)Nc1cccc2ccccc12,1.336
81SZIL,CNS(=O)(=O)Cc1ccccc1CNc1ncccc1C#N,1.804
81QYLF,Cc1nn(C)c(Cl)c1CNc1ccc(OC(C)C)cc1,0.646
81QKWP,CCN(CCC(=O)OC)c1cncc(C(N)=O)n1,1.409
81MNXY,Cc1nc2ccccc2n1CCSc1ccccc1,1.677
81GPKX,C[C@H](CCO)CNc1ncnc2cccc(F)c12,1.464
81JPAT,CCN(Cc1ccc(Cl)s1)C(=O)NNC(=O)c1ccc(C#N)cc1,2.248
81RGRP,Cc1ccc(C)n1NC(=O)c1ccc(Cl)cc1N,0.777
81PCSR,CN(Cc1ccccc1Br)C(=O)N[C@H]1CCS(=O)(=O)C1,2.057
81IGHT,O=C(Nc1ccc(Br)cc1)c1cccnc1NCc1ccccc1,1.484
81RCNT,Nc1ncc(Cc2cccc(F)c2)c(N)n1,1.927
81CORI,CCCN1CCO[C@@H](c2ncc([C@@H](C)Cl)c(C)n2)C1,1.402
81UFSC,C[C@H](NC(=O)NC[C@H]1CCCO1)c1cccs1,1.921
81WQAQ,C[C@@H](O)CCN(C)S(=O)(=O)Cc1ccccc1C(F)(F)F,2.143
81WSYF,Cc1cc(SC(C(=O)Nc2ccccc2)C(=O)Nc2ccccc2)nc(=S)[nH]1,1.541
81YLAB,Cc1cc([C@H](O)c2occc2C)c(F)cc1F,1.664
81HSTU,CCc1nn(C)cc1CNc1ccc(O[C@@H]2CCOC2)cc1,0.756
81TPXA,CC(C)c1ocnc1C[S@@](=O)Cc1cccnc1Cl,1.715
81JOMB,CC(C)CC[C@H]1CCC[C@H]1NC(=O)Cn1ccc(=O)[nH]c1=O,2.229
81NSAI,CCCn1nccc1NC(=O)c1ccncc1Cl,1.785
81XUZU,O=C(NCCc1ccccc1F)C(=O)Nc1cccnc1Cl,2.31
81ENCH,C[C@@H](NC(=O)C(=O)Nc1ccc(C#N)cc1)c1ccc(Cl)s1,1.995
81PUQK,CNC(=O)Cc1nc(CN2CCN(C(=O)C3CCCCC3)CC2)cs1,1.129
81LWBK,Cc1n[nH]c(C)c1CCC(=O)N(C)CCOc1ccc(F)cc1,1.846
81TKBQ,O=C(Cn1ccc(=O)[nH]c1=O)Nc1cccc(F)c1,2.103
81UTOV,CCc1nc(C[S@@](=O)CC(=O)Nc2ccc(F)c(Cl)c2)cs1,1.847
81QUYU,N/C(=N/OCc1ccc(OC(F)(F)F)cc1)[C@@H]1CCOC1,1.817
81LOMF,COCCN(C(=O)Cn1cccn1)[C@@H]1CCS(=O)(=O)C1,2.033
81GRSR,CNC(=O)CN(C)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.475
81XECD,O=C(C[C@@H](O)c1ccccc1)NCc1ccnc2ccccc12,1.958
81BPCL,CC(C)[C@H](Sc1ccc(F)cc1)C(=O)N[C@]1(C)CCS(=O)(=O)C1,1.844
81SHUB,COCc1nc(C)cc(N[C@H](C)c2cccc(C#N)c2)n1,1.443
81TUON,C[C@H](C(=O)N1CCCCC1)S(=O)(=O)c1ccccn1,1.949
81PIBT,CC[C@H](C)N(C)C(=O)c1scnc1C,1.941
81DSYU,COc1ccc(OCCN(C)C(=O)Nc2ccnn2C(C)C)cc1,2.671
81KGUE,C=CCN(C(=O)C/C=C/c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1,1.75
81IJZB,COCCn1cc(NC(=O)N2CCC(COc3ccccc3)CC2)cn1,1.585
81TWGR,Cc1ccc(CN(C)C(=O)NC[C@@H](C)Cn2cccn2)s1,2.081
81EDKS,Cc1ncccc1NC(=O)C(=O)NCCSc1ccccc1F,1.639
81HJPP,Cc1cc(N)nc(S[C@H](C)C(=O)Nc2ccc(SC(F)F)cc2)n1,-0.342
81EKMC,Cc1n[nH]c(NC(=O)c2cc(F)cc(F)c2)c1N,0.979
81QTJE,CCc1ncc(CN2CCO[C@@H](c3nccs3)C2)s1,1.589
81LEZS,C[C@H]1CN(C)CCN1C(=O)c1coc(Br)c1,-0.409
81KFMQ,CN(CCc1ccncc1)c1ncnc2ccccc12,1.508
81KZAL,Cc1ncc([C@H](C)NCc2ccccc2F)s1,1.502
81IQIF,NC(=O)CSc1c(Cl)cccc1Cl,1.989
81BIWH,C[C@@H](NC(=O)c1ccc(CS(C)(=O)=O)cc1)c1ccc(Cl)s1,2.109
81YAHQ,CCOc1ccc(C(=O)Nc2cccn(C)c2=O)cc1,1.244
81HPQY,Cc1cccc(N[C@]2(CO)CCCS[C@@H]2C)c1,0.923
81ODUZBH,CCc1ncc(C(=O)NC[C@@H]2CCCN(c3ncccn3)C2)s1,1.287
81BXYL,CC[S@@](=O)[C@@H]1CCCC[C@@H]1NC(=O)NNc1cccc(F)c1F,1.239
81HOGW,Fc1ccc(OCCN2CCO[C@H](c3ccco3)C2)c(Cl)c1,0.898
81MPCE,CC[C@@H](C)[C@H](NS(C)(=O)=O)C(=O)/N=c1/sccn1C,1.281
81MWDM,Cc1ccc(CNC(=O)Nc2cncc3ccccc23)s1,1.379
81FLZV,CC1(C)CCC(NC(=O)NC[C@@](C)(O)c2cccs2)CC1,1.616
81IDEX,O=C(Nc1ccc(Br)cc1)c1cc2ccccc2c(=O)[nH]1,1.529
81OETH,COc1cccc(C[S@@](=O)Cc2ccc(F)cc2F)c1,1.937
81DTHV,C[C@H]1CCC[C@@H]1NC(=O)NC[C@@H](C)Nc1ccccc1,0.83
81XUIG,CS[C@H](CNC(=O)NCCNC(C)=O)c1cccc(Cl)c1,1.913
81VFNM,C[C@@H](Cc1cccs1)N(C)c1ccc(N)cc1,0.598
81SFSC,CCNC(=O)Cn1cc(Br)cn1,2.226
81QKBG,COc1nc(N(C)C)sc1/C=C(/CBr)C(C)C,1.428
81LATU,CCC(C)(C)NC(=O)[C@@H](C)N1CCN(Cc2nccn2C(F)F)CC1,0.848
81VWVH,O=c1cc(CSc2cccc(Br)c2)nc2ccccn12,2.114
81RGTE,N#Cc1cccnc1NCC[S@](=O)c1ccccc1,1.647
81UAIN,Cc1cc(S(=O)(=O)NC[C@@H](C)O)sc1C,2.343
81HQXR,Cn1c(SCc2ccccc2)nc(C(F)(F)F)cc1=O,0.645
81RQYJ,CCCNC(=O)Nc1ccc(SCC)nc1,2.067
81IPSV,Cc1ncc([C@@H](C)N[C@H]2CCCN(S(C)(=O)=O)C2)s1,1.166
81INXW,Cc1nc(CNc2nc(Br)cn3ccnc23)cs1,1.805
81CSRX,O[C@H](Cc1cccc(Br)c1)c1ncc(Cl)cc1Cl,2.106
81IJJR,CN[C@]1(C#N)CCC[C@@H](Sc2cc(Cl)ccc2Cl)C1,1.759
81GMDL,O=C(Nc1ncccc1OC(F)F)c1ccc2ccccc2c1,2.275
81GCNR,O=C(N[C@H]1CCC[C@H]1Cc1ccccc1)c1cnccn1,2.563
